,城,省份,比例,具体人数,
56,马鞍山,安徽省,0.03,2,20200206
57,盐城,江苏省,0.03,2,20200206
58,绍兴,浙江省,0.03,2,20200206
59,廊坊,河北省,0.03,2,20200206
60,保定,河北省,0.03,2,20200206
61,湘潭,湖南省,0.03,2,20200206
62,六安,安徽省,0.03,2,20200206
63,嘉兴,浙江省,0.03,2,20200206
64,福州,福建省,0.03,2,20200206
65,黔西南州,贵州省,0.02,1,20200206
66,郴州,湖南省,0.02,1,20200206
67,常德,湖南省,0.02,1,20200206
68,台州,浙江省,0.02,1,20200206
69,茂名,广东省,0.02,1,20200206
70,德州,山东省,0.02,1,20200206
71,衢州,浙江省,0.02,1,20200206
72,镇江,江苏省,0.02,1,20200206
73,邵阳,湖南省,0.02,1,20200206
74,锡林郭勒盟,内蒙古自治区,0.02,1,20200206
75,池州,安徽省,0.02,1,20200206
76,周口,河南省,0.02,1,20200206
77,开封,河南省,0.02,1,20200206
78,蚌埠,安徽省,0.02,1,20200206
79,石家庄,河北省,0.02,1,20200206
80,铜仁,贵州省,0.02,1,20200206
81,商丘,河南省,0.02,1,20200206
82,怀化,湖南省,0.02,1,20200206
83,安阳,河南省,0.02,1,20200206
84,临汾,山西省,0.02,1,20200206
85,黑河,黑龙江省,0.02,1,20200206
86,伊犁,新疆维吾尔自治区,0.02,1,20200206
87,莆田,福建省,0.02,1,20200206
88,咸阳,陕西省,0.02,1,20200206
89,巴彦淖尔,内蒙古自治区,0.01,1,20200206
90,石嘴山,宁夏回族自治区,0.01,1,20200206
91,哈尔滨,黑龙江省,0.01,1,20200206
92,驻马店,河南省,0.01,1,20200206
93,毕节,贵州省,0.01,1,20200206
94,连云港,江苏省,0.01,1,20200206
95,榆林,陕西省,0.01,1,20200206
96,安康,陕西省,0.01,1,20200206
97,达州,四川省,0.01,1,20200206
98,阿克苏,新疆维吾尔自治区,0.01,1,20200206
99,喀什,新疆维吾尔自治区,0.01,1,20200206
