city,day_avg,night_avg,day_var,night_var,part_date
2311,4189.94557,1348.599788,4631.257347,1488.796325,20200130
2307,3750.805433,1168.016176,4683.822037,1405.595641,20200131
2305,4196.432752,1352.655459,5158.719026,1577.956484,20200131
2309,4451.631168,1378.719264,5417.271911,1582.842504,20200131
2311,4056.80219,1231.488873,4540.528053,1358.037188,20200131
2302,4532.155726,1384.341982,5668.667981,1663.602497,20200131
2312,2973.983696,854.3814229,3698.061605,1018.546194,20200131
2313,3451.432047,1091.024989,3727.334296,1135.981326,20200131
2304,4086.547728,1258.158803,5447.002297,1588.112638,20200131
2301,4696.594837,1435.425555,6090.146608,1823.508418,20200131
2303,3540.401508,1116.018093,4450.135192,1412.624439,20200131
2306,4880.646069,1488.749159,5109.185304,1478.668307,20200131
2308,3468.752,1099.732923,4359.860451,1340.339603,20200131
2310,4007.816694,1247.285004,4717.364111,1388.215998,20200131
2301,4631.161936,1500.838889,6037.938244,1919.565659,20200201
2304,4008.480332,1268.179961,5361.596877,1604.804315,20200201
2305,4090.324408,1388.333956,5045.405277,1618.925978,20200201
2306,4803.800551,1531.091605,5028.246363,1524.411792,20200201
2307,3679.31374,1170.983664,4624.096009,1413.726189,20200201
2308,3440.533963,1124.143033,4345.170289,1374.681506,20200201
2309,4332.504183,1394.151701,5305.563136,1616.459613,20200201
2310,3850.220174,1230.955261,4570.751038,1389.623358,20200201
2312,2930.663699,882.2195846,3660.144635,1062.397961,20200201
2302,4483.908522,1408.012082,5663.707671,1714.535398,20200201
2303,3383.522506,1107.984228,4236.91747,1396.942176,20200201
2311,3997.727476,1237.997998,4484.280842,1378.394887,20200201
2313,3426.867693,1132.694461,3713.031439,1185.239427,20200201
2312,2874.056874,900.5019782,3532.680853,1115.923584,20200202
2306,4939.133844,1461.086371,5095.274915,1531.029087,20200202
2309,4277.822464,1312.673913,5192.739541,1565.460708,20200202
2305,4064.979668,1213.690249,4942.409731,1481.20986,20200202
2310,3702.270052,1139.523938,4384.975359,1342.343981,20200202
2307,3674.085649,1093.991908,4576.158165,1350.340632,20200202
2304,3927.700918,1178.566244,5198.302034,1561.264879,20200202
2308,3440.080648,1015.91258,4317.804898,1266.493822,20200202
2301,4588.965499,1393.854901,5949.767775,1799.543426,20200202
2313,3415.866824,1038.37274,3679.854557,1100.988327,20200202
2302,4413.933197,1340.14046,5543.114212,1682.245494,20200202
2303,3291.474217,1021.025916,4113.512356,1265.667146,20200202
2311,3818.247584,1138.914212,4379.296897,1295.182928,20200202
null,4335.136937,1309.686235,6517.756037,1977.125948,20200202
2306,3970.251072,1173.067361,4254.426488,1294.945891,20200203
2307,3182.467338,940.8182234,4085.63928,1211.669564,20200203
2310,3257.188355,998.3862412,3943.594181,1204.776775,20200203
2308,3209.139984,938.9478654,4059.331828,1186.80458,20200203
2303,3006.782006,927.0311166,3800.03007,1161.818275,20200203
2313,3105.87098,931.5229277,3366.374983,998.2226427,20200203
